Date,Adj Close
12/31/18,2.3
1/2/19,2.365
1/3/19,2.355
1/4/19,2.358
1/6/19,null
1/7/19,2.353
1/8/19,2.4
1/9/19,2.39
1/10/19,2.375
1/11/19,2.37
1/13/19,null
1/14/19,2.36
1/15/19,2.383
1/16/19,2.363
1/17/19,2.355
1/18/19,2.348
1/20/19,null
1/22/19,2.345
1/23/19,2.353
1/24/19,2.305
1/25/19,2.328
1/27/19,null
1/28/19,2.333
1/29/19,2.365
1/30/19,2.365
1/31/19,2.34
2/1/19,2.34
2/3/19,null
2/4/19,2.335
2/5/19,2.365
2/6/19,2.365
2/7/19,2.355
2/8/19,2.365
2/10/19,null
2/11/19,2.375
2/12/19,2.378
2/13/19,2.373
2/14/19,2.373
2/15/19,2.37
2/17/19,null
2/19/19,2.373
2/20/19,2.383
2/21/19,2.395
2/22/19,2.393
2/24/19,null
2/25/19,2.393
2/26/19,2.4
2/27/19,2.393
2/28/19,2.383
3/1/19,2.378
3/3/19,null
3/4/19,2.375
3/5/19,2.4
3/6/19,2.405
3/7/19,2.395
3/8/19,2.393
3/10/19,null
3/11/19,2.38
3/12/19,2.395
3/13/19,2.388
3/14/19,2.388
3/15/19,2.388
3/17/19,null
3/18/19,2.385
3/19/19,2.405
3/20/19,2.408
3/21/19,2.408
3/22/19,2.398
3/24/19,null
3/25/19,2.39
3/26/19,2.405
3/27/19,2.378
3/28/19,2.37
3/29/19,2.328
3/31/19,null
4/1/19,2.323
4/2/19,2.37
4/3/19,2.373
4/4/19,2.37
4/5/19,2.37
4/7/19,null
4/8/19,2.365
4/9/19,2.365
4/10/19,2.363
4/11/19,2.365
4/12/19,2.375
4/14/19,null
4/15/19,2.36
4/16/19,2.378
4/17/19,2.38
4/18/19,2.365
4/21/19,null
4/22/19,2.375
4/23/19,2.39
4/24/19,2.375
4/25/19,2.365
4/26/19,2.36
4/28/19,null
4/29/19,2.36
4/30/19,2.368
5/1/19,2.363
5/2/19,2.373
5/3/19,2.368
5/5/19,null
5/6/19,2.363
5/7/19,2.368
5/8/19,2.37
5/9/19,2.37
5/10/19,2.37
5/12/19,null
5/13/19,2.35
5/14/19,2.353
5/15/19,2.35
5/16/19,2.338
5/17/19,2.33
5/19/19,null
5/20/19,2.32
5/21/19,2.33
5/22/19,2.32
5/23/19,2.303
5/24/19,2.288
5/26/19,null
5/28/19,2.298
5/29/19,2.298
5/30/19,2.31
5/31/19,2.293
6/2/19,null
6/3/19,2.28
6/4/19,2.295
6/5/19,2.285
6/6/19,2.255
6/7/19,2.215
6/9/19,null
6/10/19,2.22
6/11/19,2.213
6/12/19,2.165
6/13/19,2.14
6/14/19,2.125
6/16/19,null
6/17/19,2.138
6/18/19,2.168
6/19/19,2.125
6/20/19,2.078
6/21/19,2.055
6/23/19,null
6/24/19,2.058
6/25/19,2.083
6/26/19,2.093
6/27/19,2.085
6/28/19,2.035
6/30/19,null
7/1/19,2.065
7/2/19,2.148
7/3/19,2.15
7/5/19,2.163
7/7/19,null
7/8/19,2.178
7/9/19,2.195
7/10/19,2.13
7/11/19,2.098
7/12/19,2.09
7/14/19,null
7/15/19,2.085
7/16/19,2.103
7/17/19,2.073
7/18/19,2.013
7/19/19,2.013
7/21/19,null
7/22/19,2.025
7/23/19,2.033
7/24/19,2.04
7/25/19,2.06
7/26/19,2.063
7/28/19,null
7/29/19,2.05
7/30/19,2.04
7/31/19,2.03
8/1/19,2.03
8/2/19,2
8/4/19,null
8/5/19,1.953
8/6/19,1.995
8/7/19,1.968
8/8/19,1.97
8/9/19,1.95
8/11/19,null
8/12/19,1.928
8/13/19,1.955
8/14/19,1.908
8/15/19,1.843
8/16/19,1.823
8/18/19,null
8/19/19,1.853
8/20/19,1.9
8/21/19,1.928
8/22/19,1.938
8/23/19,1.91
8/25/19,null
8/26/19,1.933
8/27/19,1.943
8/28/19,1.94
8/29/19,1.94
8/30/19,1.933
9/1/19,null
9/3/19,1.91
9/4/19,1.905
9/5/19,1.92
9/6/19,1.91
9/8/19,null
9/9/19,1.908
9/10/19,1.913
9/11/19,1.913
9/12/19,1.895
9/13/19,1.9
9/15/19,null
9/16/19,1.945
9/17/19,1.938
9/18/19,1.88
9/19/19,1.883
9/20/19,1.85
9/22/19,null
9/23/19,1.845
9/24/19,1.88
9/25/19,1.845
9/26/19,1.77
9/27/19,1.73
9/29/19,null
9/30/19,1.77
10/1/19,1.753
10/2/19,1.735
10/3/19,1.665
10/4/19,1.655
10/6/19,null
10/7/19,1.673
10/8/19,1.655
10/9/19,1.628
10/10/19,1.633
10/11/19,1.623
10/13/19,null
10/14/19,1.618
10/15/19,1.618
10/16/19,1.615
10/17/19,1.625
10/18/19,1.625
10/20/19,null
10/21/19,1.625
10/22/19,1.615
10/23/19,1.615
10/24/19,1.623
10/25/19,1.625
10/27/19,null
10/28/19,1.605
10/29/19,1.595
10/30/19,1.595
10/31/19,1.498
11/1/19,1.485
11/3/19,null
11/4/19,1.503
11/5/19,1.518
11/6/19,1.515
11/7/19,1.518
11/8/19,1.51
11/10/19,null
11/11/19,1.513
11/12/19,1.533
11/13/19,1.535
11/14/19,1.528
